NAME,SEX,DATE,AGE,LAT,LONG,TYPE,,,,
Aggie,F,30-May-84,2,49.095565,-114.456131,Capture,,,,
Butch,M,26-Oct-82,1,49.016460,-114.339797,Capture,,,,
Cod,M,29-Sep-02,3,49.159935,-114.823017,Capture,,,,
Dude,M,14-Oct-08,1,49.359267,-114.621916,Capture,,,,
Ernie,M,27-Oct-86,1,49.058631,-114.494980,Capture,,,,
Genevieve,F,18-Jun-02,1,49.058940,-114.436714,Capture,,,,
Glen,M,17-Jun-02,2,49.058940,-114.436714,Capture,,,,
GM 174,M,7-Sep-11,2,49.081496,-114.358812,Capture,,,,
GM 181,M,13-Aug-15,2,49.158537,-114.427199,Capture,,,,
Jack,M,22-Jun-91,1,49.068435,-114.477152,Capture,,,,
Jennie,F,13-Jun-82,1,49.011474,-114.437170,Capture,,,,
Jim,M,20-May-92,2,49.055659,-114.442495,Capture,,,,
Joel,M,18-Sep-03,2,49.043048,-114.441021,Capture,,,,
Joesey,F,9-May-81,2,49.044852,-114.481987,Capture,,,,
Liz,F,23-Sep-01,0,49.061452,-114.395129,Capture,,,,
Luke,M,19-May-90,2,49.064579,-114.457714,Capture,,,,
Maggie,F,11-Jun-91,2,49.051348,-114.436393,Capture,,,,
Mammie,F,19-May-90,2,49.064579,-114.457714,Capture,,,,
Melonie,F,22-Aug-82,0,49.099076,-114.474229,Capture,,,,
Mitch,M,24-Jun-87,2,49.069027,-114.476657,Capture,,,,
Myles,M,25-Sep-89,1,49.108294,-114.483901,Capture,,,,
Newt,M,22-May-84,1,49.041554,-114.454783,Capture,,,,
Reggie,M,2-Jun-93,2,48.888050,-114.441850,Capture,,,,
Ringo,M,8-Jun-01,4,49.043048,-114.441021,Capture,,,,
Roy,M,11-Sep-93,3,48.956387,-114.449367,Capture,,,,
Sally,F,5-Jul-87,1,49.024900,-114.394070,Capture,,,,
Scott,M,2-Jun-93,2,48.888050,-114.441850,Capture,,,,
Steve,M,25-Oct-89,4,49.057926,-114.485365,Capture,,,,
Sven,M,13-Sep-93,3,48.956387,-114.449367,Capture,,,,
Terrence,M,17-Sep-92,4,49.195401,-114.481528,Capture,,,,
Tina,F,14-Jun-03,2,49.071909,-114.469445,Capture,,,,
Aggie,F,2014-06-05,32,49.108,-114.4981,Mortality,,,,
Butch,M,1991-05-23,10,49.210424,-114.8855303,Mortality,,,,
Cod,M,2007-05-25,8,49.209918,-114.8580897,Mortality,,,,
Dude,M,2013-10-30,6,48.9,-115.0238,Mortality,,,,
Ernie,M,1994-05-29,9,49.237,-114.897,Mortality,,,,
Genevieve,F,2006-06-03,5,49.03672089,-114.4191504,Mortality,,,,
Glen,M,2006-05-06,6,49.31192272,-114.8866768,Mortality,,,,
GM 174,M,2014-10-26,5,47.71052,-115.01183,Mortality,,,,
GM 181,M,2015-10-06,2,48.87371,-115.044999,Mortality,,,,
Jack,M,1992-10-15,2,49.11988817,-114.5056975,Mortality,,,,
Jennie,F,2003-10-06,22,49.04551367,-114.4297263,Mortality,,,,
Jim,M,2007-09-20,17,49.583,-114.972,Mortality,,,,
Joel,M,2005-07-05,4,49.02579204,-114.3873741,Mortality,,,,
Joesey,F,1982-06-05,3,49.143577,-114.6287771,Mortality,,,,
Liz,F,2003-10-15,2,49.05748894,-114.4471241,Mortality,,,,
Luke,M,1992-05-16,4,49.0685535,-114.4760099,Mortality,,,,
Maggie,F,2010-10-10,21,49.06741008,-114.428035,Mortality,,,,
Mammie,F,2016-06-15,28,49.121817,-114.4128723,Mortality,,,,
Melonie,F,2012-09-29,30,49.298723,-114.5722438,Mortality,,,,
Mitch,M,1989-06-14,4,49.18616683,-114.49785,Mortality,,,,
Myles,M,1991-10-12,3,49.11952958,-114.5057566,Mortality,,,,
Newt,M,1986-06-05,3,49.07327003,-114.4548738,Mortality,,,,
Reggie,M,1994-05-31,3,49.00562226,-114.4842813,Mortality,,,,
Ringo,M,2014-05-31,17,49.219825,-114.459371,Mortality,,,,
Roy,M,2000-06-03,10,49.2138,-114.712,Mortality,,,,
Sally,F,2005-10-29,19,49.04162701,-114.4805623,Mortality,,,,
Scott,M,1994-05-31,3,49.00568517,-114.4842781,Mortality,,,,
Steve,M,1999-11-03,14,48.781872,-114.301936,Mortality,,,,
Sven,M,1994-10-12,4,49.10753921,-114.4322226,Mortality,,,,
Terrence,M,1998-05-28,10,49.1879,-114.8355,Mortality,,,,
Tina,F,2014-10-15,13,49.425745,-113.987421,Mortality,,,,