BATCH_NO,CID_NO,MASTER_ID,ERROR_FLAG,SPECIES_CODE,KILL_CODE,LIMITED_ENTRY_FLAG,KILL_DATE,SEX,MU_CODE,SUB_UNIT_CODE,REGION_CODE,SUB_REGION_CODE,ZONE_NO,GRID_EAST,GRID_NORTH,KILL_LOCATION,SKULL_LENGTH,SKULL_WIDTH,SKULL_TYPE,HORN_ANNULI_CODE,HORN_ANNULI_AGE,TOOTH_CODE,TOOTH_AGE,WEARSTAIN_CODE,WEARSTAIN_AGE,OTHER_CODE,OTHER_AGE,EXTRACT_FLAG,CHECK_DATE,PARK_KILL_FLAG,CHECK_LOCATION,GUIDE_FORM_NO,PARK_NAME,date,source,region,geometry
201601,127663,147097,W,BEAG,2,2,20160816,F,423,A,4,B,11,652,5524,ELK VALLEY,NA,NA,NA,NA,NA,2,2,NA,NA,0,4,1,20160816,NA,032,NA,NA,2016-08-16,Animal Control,Elk Valley,"c(1796208.56694085, 599635.395126995)"
201603,127666,147520,W,BEAG,2,2,20160921,M,402,00,4,B,11,640,5440,GRASMERE,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,20161007,NA,032,NA,NA,2016-09-21,Animal Control,Elk Valley,"c(1795084.4797876, 514830.723460873)"
201603,127664,147477,W,BEAG,2,2,20160902,F,423,A,4,B,11,652,5522,LOWER ELK VALLEY RD,NA,NA,NA,NA,NA,2,11,3,99,NA,NA,1,20160903,NA,032,NA,NA,2016-09-02,Animal Control,Elk Valley,"c(1796465.39970303, 597652.103380823)"
201604,127668,147594,NA,BEAG,2,2,20161122,M,422,00,4,B,11,637,5463,ELKO,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,1,20161123,NA,032,NA,NA,2016-11-22,Animal Control,Elk Valley,"c(1789153.7962609, 537234.785418833)"
201701,127679,151074,W,BEAG,2,2,20170920,F,423,00,4,B,11,648,5536,ELKFORD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170921,NA,032,NA,NA,2017-09-20,Animal Control,Elk Valley,"c(1790700.09707176, 611022.488304584)"
201901,127718,156370,NA,BEAG,2,2,20190628,M,423,NA,4,B,11,649,5482,FERNIE ALPINE RESORT,330,120,3,NA,NA,2,3,NA,NA,NA,NA,1,20190628,NA,032,NA,NA,2019-06-28,Animal Control,Elk Valley,"c(1798625.80157015, 557609.736505388)"
201901,127723,156371,W,BEAG,2,2,20190912,F,423,NA,4,B,11,654,5512,MICHEL RD,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,20190915,NA,032,NA,NA,2019-09-12,Animal Control,Elk Valley,"c(1799733.90487236, 587993.429467324)"
201901,142365,156377,NA,BEAG,2,2,20190530,M,422,NA,4,B,11,605,5493,FORT STEELE,245,150,3,NA,NA,2,2,NA,NA,NA,NA,NA,20190530,NA,030,NA,NA,2019-05-30,Animal Control,Elk Valley,"c(1753545.26687761, 562865.435138256)"
201901,142373,156382,NA,BEAG,2,2,20190926,M,422,NA,4,B,11,613,5486,CUTTER RANCH,430,225,3,NA,NA,2,5,NA,NA,NA,NA,1,20190926,NA,030,NA,NA,2019-09-26,Animal Control,Elk Valley,"c(1762381.72701081, 556950.531552059)"
201701,137206,150944,NA,BEAG,2,2,20170718,F,422,00,4,B,11,612,5493,FORT STEELE,420,220,3,NA,NA,2,9,NA,NA,NA,NA,1,20170718,NA,030,NA,NA,2017-07-18,Animal Control,Elk Valley,"c(1760492.96526686, 563762.528397951)"
201701,127681,151139,W,BEAG,2,2,20170915,M,423,00,4,B,11,648,5536,ELKFORD,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,20170921,NA,032,NA,NA,2017-09-15,Animal Control,Elk Valley,"c(1790700.09707176, 611022.488304584)"
201701,127674,150633,W,BEAG,2,2,20170522,F,423,00,4,B,11,642,5484,COKATO RD FERNIE,NA,NA,NA,NA,NA,2,6,3,4,NA,NA,NA,20170523,NA,032,NA,NA,2017-05-22,Animal Control,Elk Valley,"c(1791421.67250725, 558691.775756796)"
201701,127673,149827,W,BEAG,2,2,20170515,M,423,00,4,B,11,653,5522,LOWER ELK VALLEY RD,NA,NA,NA,NA,NA,2,4,3,4,NA,NA,2,20170515,NA,032,NA,NA,2017-05-15,Animal Control,Elk Valley,"c(1797457.42771489, 597780.60054633)"
201801,127696,154450,W,BEAG,2,2,20180520,M,422,00,4,B,11,622,5474,TIE LAKE,310,160,3,NA,NA,2,2,3,2,NA,NA,1,20180522,NA,032,NA,NA,2018-05-20,Animal Control,Elk Valley,"c(1772852.53968401, 546209.493911731)"
202101,150303,166155,W,BEAG,2,2,20211023,M,423,NA,4,-,11,644,5493,HOSMER - 6829 BRYANT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20211023,NA,032,NA,NA,2021-10-23,Animal Control,Elk Valley,"c(1792251.24713799, 567870.617195146)"
202101,148174,166134,NA,BEAG,2,2,20210620,F,402,NA,4,B,11,638,5441,GRASMERE,286,151,1,NA,NA,NA,NA,3,3,NA,NA,1,20210620,NA,030,NA,NA,2021-06-20,Animal Control,Elk Valley,"c(1792970.13074818, 515563.912258897)"
202101,148314,164236,W,BEAG,2,2,20210517,M,423,NA,4,-,11,649,5487,FERNIE/ALPINE TRAILS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,20210517,NA,032,NA,NA,2021-05-17,Animal Control,Elk Valley,"c(1797983.62750883, 562565.841093802)"
202001,148304,163307,W,BEAG,2,2,20200910,F,423,NA,4,B,11,643,5562,SLIM SLIDES-N ELKFOR,NA,NA,NA,NA,NA,NA,NA,3,99,NA,NA,2,20200910,NA,032,NA,NA,2020-09-10,Animal Control,Elk Valley,"c(1782404.94513843, 636172.095279178)"
202001,148307,163308,W,BEAG,2,2,20201014,F,423,NA,4,B,11,650,5535,4100 HWY 43,NA,NA,NA,NA,NA,2,7,3,8,NA,NA,NA,20201014,NA,032,NA,NA,2020-10-14,Animal Control,Elk Valley,"c(1792812.28118646, 610287.466305571)"
201904,127730,157249,W,BEAG,2,2,20191011,M,402,NA,4,B,11,640,5439,GRAVELLE RD WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20191013,NA,032,NA,NA,2019-10-11,Animal Control,Elk Valley,"c(1795212.85979266, 513840.00217861)"
201904,127731,157250,W,BEAG,2,2,20191011,M,402,NA,4,B,11,640,5439,GRAVELLE RD WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20191013,NA,032,NA,NA,2019-10-11,Animal Control,Elk Valley,"c(1795212.85979266, 513840.00217861)"
